CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
DOHA,KOLKATA,1701.0,1481.0,1188.1797100000001,1257.2845300000001
DOHA,KOZHIKODE,13286.0,12427.0,41.729,544.549
DOHA,LUCKNOW,1427.0,0.0,0.28,0.0
DOHA,MUMBAI,13031.0,18853.0,7932.73706,6839.1096
DOHA,TIRUCHIRAPALLY,760.0,1213.0,0.0,29.837
DOHA,TRIVANDRUM,7354.0,5897.0,0.611,233.68
DOHA,KANNUR,8745.0,7851.0,16.641,0.357
DOHA,VIJAYAWADA,504.0,0.0,10.912,0.0
DOHA,MANGALORE,995.0,402.0,15.995,23.751
DUBAI,AHMEDABAD,40476.0,32525.0,450.58214000000004,1525.207225
DUBAI,AMRITSAR,13773.0,16684.0,4.1355,71.88389
DUBAI,BENGALURU,38307.0,31137.0,3272.859202,5025.793463000001
DUBAI,CHENNAI,56203.0,59919.0,3187.6958640000003,4724.05738
DUBAI,DELHI,127769.0,139171.0,4020.0980669999994,8688.275822000001
DUBAI,GOA,3453.0,1486.0,0.13,5.3348
DUBAI,HYDERABAD,60148.0,56652.0,651.8813,3018.8526620000002
DUBAI,JAIPUR,5041.0,5050.0,0.568,61.0911
DUBAI,KOCHI,47760.0,52459.0,1157.7413000000001,1882.3752
DUBAI,KOLKATA,22028.0,19940.0,910.457822,1317.3857190000003
DUBAI,KOZHIKODE,53423.0,63883.0,153.834,718.522
DUBAI,LUCKNOW,37963.0,33391.0,3.074,217.60377
DUBAI,MUMBAI,61545.0,103158.0,4998.858666,8490.817171
DUBAI,TIRUCHIRAPALLY,14404.0,12709.0,2.234,191.297
DUBAI,TRIVANDRUM,31871.0,31634.0,68.3275,1053.799
DUBAI,KANNUR,15953.0,17103.0,0.911,0.509
DUBAI,VIJAYAWADA,2815.0,0.0,0.0,0.0
DUBAI,MADURAI,12178.0,11493.0,0.0,92.622
DUBAI,MANGALORE,27433.0,25574.0,1.592,24.79
DUBAI,VARANASI,1716.0,0.0,0.0,0.0
DUBAI,PUNE,1637.0,0.0,0.0,0.0
FRANKFURT,BENGALURU,8113.0,12104.0,2462.1888,5162.250099999999
FRANKFURT,CHENNAI,0.0,0.0,1723.369,188.584
FRANKFURT,DELHI,26111.0,27405.0,1280.3888,2925.39246
FRANKFURT,HYDERABAD,0.0,0.0,811.056,1329.948
FRANKFURT,MUMBAI,3049.0,7572.0,4223.7168,2926.621
GUANGZHOU,DELHI,0.0,0.0,1489.384,1157.894
GUANGZHOU,MUMBAI,0.0,0.0,0.0,392.124
HANOI,DELHI,146.0,221.0,1142.253,270.43527
HANOI,KOLKATA,0.0,0.0,0.0,8.156
HANOI,MUMBAI,0.0,0.0,0.0,1.1075
HO CHI MINH CITY,BENGALURU,0.0,0.0,1862.012,0.0
HO CHI MINH CITY,CHENNAI,0.0,0.0,225.881,41.495
HO CHI MINH CITY,DELHI,0.0,0.0,173.039,0.0
HO CHI MINH CITY,KOLKATA,0.0,0.0,112.0,17.0
